name,price,change_24h,volume_24h,market_cap
LOAF,0.01846,3.9283171415226525,29050000000.0,636165704.1563479
Bitcoin,70857.06,-0.06,14580000000.0,1396460000000.0
Ethereum,3855.52,1.86,61940000000.0,463240000000.0
Tether,0.9995,0.03,2960000000.0,112340000000.0
BNB,694.1,-0.55,1990000000.0,102440000000.0
Solana,172.83,0.18,5910000000.0,79490000000.0
USD Coin,0.9998,-0.01,1140000000.0,32600000000.0
XRP,0.525,0.08,727410000.0,29110000000.0
Dogecoin,0.162,-0.13,345330000.0,23420000000.0
Toncoin,7.2,-3.46,280990000.0,17400000000.0
Cardano,0.4589,-0.28,801120000.0,16390000000.0
Shiba Inu,2.57e-05,0.21,304280000.0,15150000000.0
Avalanche,36.23,0.47,285320000.0,14250000000.0
Wrapped Bitcoin,70958.22,0.04,166520000.0,11570000000.0
Polkadot,7.19,-0.04,367500000.0,10340000000.0
Chainlink,17.38,-2.61,240440000.0,10200000000.0
TRON,0.114,-0.1,295400000.0,9950000000.0
Bitcoin Cash,497.35,3.36,230550000.0,9810000000.0
NEAR Protocol,7.55,0.27,229950000.0,8170000000.0
Polygon,0.7192,0.83,333210000.0,7120000000.0
Uniswap,10.72,-3.55,289360000.0,6430000000.0
Litecoin,84.8,1.24,1430000000.0,6330000000.0
Pepe,1.481e-05,2.15,60840000.0,6230000000.0
Internet Computer,12.2,-0.89,4250000.0,5670000000.0
UNUS SED LEO,6.01,0.97,278690000.0,5570000000.0
Dai,0.9993,0.09,148100000.0,5340000000.0
Kaspa,0.1811,1.41,175660000.0,4320000000.0
Ethereum Classic,29.52,0.25,212940000.0,4350000000.0
Render Token,10.68,1.72,98310000.0,4150000000.0000005
Aptos,9.18,-0.02,57980000.0,4019999999.9999995
Hedera,0.1035,1.07,288240000.0,3700000000.0
Stacks,2.39,8.16,115490000.0,3510000000.0
Mantle,1.05,9.28,519950000.00000006,3440000000.0
dogwifhat,3.42,-1.14,174560000.0,3420000000.0
Filecoin,6.02,0.88,55210000.0,3370000000.0
Immutable X,2.28,-1.23,98140000.0,3370000000.0
Cosmos,8.63,1.68,268000000.0,3380000000.0
Arbitrum,1.11,0.44,19690000.0,3230000000.0
Cronos,0.117,4.4,50630000.0,3140000000.0
Stellar,0.1063,-0.09,62250000.0,3090000000.0
Monero,164.03,1.98,1090000000.0,3030000000.0
Floki,0.0003131,-3.75,6150000.0,2990000000.0
OKB,49.16,0.6,73290000.0,2950000000.0
The Graph,0.3004,0.62,87880000.0,2860000000.0
Arweave,43.55,-4.38,6680000000.0,2860000000.0
First Digital USD,1.0,0.12,208190000.0,2750000000.0
